Model,Cluster,Component,Feature,ConnectionInstance,Combined
networking refmodel afdx presynthesis hw platform i,19,wire wire wire wire sw sw cpm pci bus afdx e cpu cpm pci bus afdx e cpu cpm pci bus afdx e cpu,afdx p1 afdx p2 afdx p3 afdx p4 afdx p1 afdx p2 afdx p3 afdx p4 afdx afdx pci pci afdx afdx pci pci afdx afdx pci pci,pci bus cpupci pci bus afdx espci pci bus cpupci pci bus afdx espci pci bus cpupci pci bus afdx espci wire cpm afdx wire sw afdx p1 wire sw afdx p4 wire sw afdx p1 wire sw afdx p3 wire cpm afdx wire sw afdx p4 wire cpm afdx,wire wire wire wire sw sw cpm pci bus afdx e cpu cpm pci bus afdx e cpu cpm pci bus afdx e cpu afdx p1 afdx p2 afdx p3 afdx p4 afdx p1 afdx p2 afdx p3 afdx p4 afdx afdx pci pci afdx afdx pci pci afdx afdx pci pci pci bus cpupci pci bus afdx espci pci bus cpupci pci bus afdx espci pci bus cpupci pci bus afdx espci wire cpm afdx wire sw afdx p1 wire sw afdx p4 wire sw afdx p1 wire sw afdx p3 wire cpm afdx wire sw afdx p4 wire cpm afdx
networking refmodel afdx presynthesis module i,19,pci bus afdx e cpu,afdx afdx pci pci,pci bus cpupci pci bus afdx espci afdx esafdx afdx,pci bus afdx e cpu afdx afdx pci pci pci bus cpupci pci bus afdx espci afdx esafdx afdx
networking refmodel basic afdx model basic afdx model i,19,hw platform wire wire wire wire sw sw cpm pci bus afdx e cpu cpm pci bus afdx e cpu cpm pci bus afdx e cpu software layer p p p p afdx network vl vl vl p p p p,afdx p1 afdx p2 afdx p3 afdx p4 afdx p1 afdx p2 afdx p3 afdx p4 afdx afdx pci pci afdx afdx pci pci afdx afdx pci pci sout qout sin sout qin qout sin qin sin sin,pci bus cpupci pci bus afdx espci pci bus cpupci pci bus afdx espci pci bus cpupci pci bus afdx espci wire cpm afdx wire sw afdx p1 wire sw afdx p4 wire sw afdx p1 wire sw afdx p3 wire cpm afdx wire sw afdx p4 wire cpm afdx p sout p sin p sout p sin p sout p sin p qout p qin p sout p sin p qout p qin,hw platform wire wire wire wire sw sw cpm pci bus afdx e cpu cpm pci bus afdx e cpu cpm pci bus afdx e cpu software layer p p p p afdx network vl vl vl p p p p afdx p1 afdx p2 afdx p3 afdx p4 afdx p1 afdx p2 afdx p3 afdx p4 afdx afdx pci pci afdx afdx pci pci afdx afdx pci pci sout qout sin sout qin qout sin qin sin sin pci bus cpupci pci bus afdx espci pci bus cpupci pci bus afdx espci pci bus cpupci pci bus afdx espci wire cpm afdx wire sw afdx p1 wire sw afdx p4 wire sw afdx p1 wire sw afdx p3 wire cpm afdx wire sw afdx p4 wire cpm afdx p sout p sin p sout p sin p sout p sin p qout p qin p sout p sin p qout p qin
networking refmodel basic afdx model hw platform i,19,wire wire wire wire sw sw cpm pci bus afdx e cpu cpm pci bus afdx e cpu cpm pci bus afdx e cpu,afdx p1 afdx p2 afdx p3 afdx p4 afdx p1 afdx p2 afdx p3 afdx p4 afdx afdx pci pci afdx afdx pci pci afdx afdx pci pci,pci bus cpupci pci bus afdx espci pci bus cpupci pci bus afdx espci pci bus cpupci pci bus afdx espci wire cpm afdx wire sw afdx p1 wire sw afdx p4 wire sw afdx p1 wire sw afdx p3 wire cpm afdx wire sw afdx p4 wire cpm afdx,wire wire wire wire sw sw cpm pci bus afdx e cpu cpm pci bus afdx e cpu cpm pci bus afdx e cpu afdx p1 afdx p2 afdx p3 afdx p4 afdx p1 afdx p2 afdx p3 afdx p4 afdx afdx pci pci afdx afdx pci pci afdx afdx pci pci pci bus cpupci pci bus afdx espci pci bus cpupci pci bus afdx espci pci bus cpupci pci bus afdx espci wire cpm afdx wire sw afdx p1 wire sw afdx p4 wire sw afdx p1 wire sw afdx p3 wire cpm afdx wire sw afdx p4 wire cpm afdx
networking refmodel basic afdx model module i,19,pci bus afdx e cpu,afdx afdx pci pci,pci bus cpupci pci bus afdx espci afdx esafdx afdx,pci bus afdx e cpu afdx afdx pci pci pci bus cpupci pci bus afdx espci afdx esafdx afdx
networking refmodel software layer software layer i,26,p p p p,sout qout sin sout qin qout sin qin sin sin,p sout p sin p sout p sin p sout p sin p qout p qin p sout p sin p qout p qin,p p p p sout qout sin sout qin qout sin qin sin sin p sout p sin p sout p sin p sout p sin p qout p qin p sout p sin p qout p qin
networking refmodel tte model hw platform i,19,wire wire wire wire sw sw cpm pci bus tte e cpu cpm pci bus tte e cpu cpm pci bus tte e cpu,tte p1 tte p2 tte p3 tte p4 tte p1 tte p2 tte p3 tte p4 tte tte pci pci tte tte pci pci tte tte pci pci,pci bus cpupci pci bus tte espci pci bus cpupci pci bus tte espci pci bus cpupci pci bus tte espci wire cpm tte wire sw tte p1 wire sw tte p4 wire sw tte p1 wire sw tte p3 wire cpm tte wire sw tte p4 wire cpm tte,wire wire wire wire sw sw cpm pci bus tte e cpu cpm pci bus tte e cpu cpm pci bus tte e cpu tte p1 tte p2 tte p3 tte p4 tte p1 tte p2 tte p3 tte p4 tte tte pci pci tte tte pci pci tte tte pci pci pci bus cpupci pci bus tte espci pci bus cpupci pci bus tte espci pci bus cpupci pci bus tte espci wire cpm tte wire sw tte p1 wire sw tte p4 wire sw tte p1 wire sw tte p3 wire cpm tte wire sw tte p4 wire cpm tte
networking refmodel tte model module i,19,pci bus tte e cpu,tte tte pci pci,pci bus cpupci pci bus tte espci tte estte tte,pci bus tte e cpu tte tte pci pci pci bus cpupci pci bus tte espci tte estte tte
networking refmodel tte model tte model i,19,hw platform wire wire wire wire sw sw cpm pci bus tte e cpu cpm pci bus tte e cpu cpm pci bus tte e cpu software layer p p p p tte network vl vl vl p p p p,tte p1 tte p2 tte p3 tte p4 tte p1 tte p2 tte p3 tte p4 tte tte pci pci tte tte pci pci tte tte pci pci sout qout sin sout qin qout sin qin sin sin,pci bus cpupci pci bus tte espci pci bus cpupci pci bus tte espci pci bus cpupci pci bus tte espci wire cpm tte wire sw tte p1 wire sw tte p4 wire sw tte p1 wire sw tte p3 wire cpm tte wire sw tte p4 wire cpm tte p sout p sin p sout p sin p sout p sin p qout p qin p sout p sin p qout p qin,hw platform wire wire wire wire sw sw cpm pci bus tte e cpu cpm pci bus tte e cpu cpm pci bus tte e cpu software layer p p p p tte network vl vl vl p p p p tte p1 tte p2 tte p3 tte p4 tte p1 tte p2 tte p3 tte p4 tte tte pci pci tte tte pci pci tte tte pci pci sout qout sin sout qin qout sin qin sin sin pci bus cpupci pci bus tte espci pci bus cpupci pci bus tte espci pci bus cpupci pci bus tte espci wire cpm tte wire sw tte p1 wire sw tte p4 wire sw tte p1 wire sw tte p3 wire cpm tte wire sw tte p4 wire cpm tte p sout p sin p sout p sin p sout p sin p qout p qin p sout p sin p qout p qin
qa accessconn gps i,38,gps gps,ba oute oute ba oute ba,ba gpsba ba gpsba gpsoute oute,gps gps ba oute oute ba oute ba ba gpsba ba gpsba gpsoute oute
qa accessconn top i,38,b1 g gps gps,ba oute oute ba oute ba,b1 ggpsba b1 ggpsba,b1 g gps gps ba oute oute ba oute ba b1 ggpsba b1 ggpsba
qa bugplatsys foo imp,18,b s1 c,p q p,,b s1 c p q p nan
qa bugplat sysplat imp,18,c,p q p,,c p q p nan
qa carsystem carrt,18,powertrain exhaustsystem,exhaustoutput exhaustmanifold,,powertrain exhaustsystem exhaustoutput exhaustmanifold nan
qa connectioninheritance top iext,2,sys sys,tin pin pout pin pout,syspout syspin,sys sys tin pin pout pin pout syspout syspin
qa connectioninheritance top i,2,sys sys,tin pin pout pin pout,syspout syspin,sys sys tin pin pout pin pout syspout syspin
qa connectiontiming s i,24,p1 t1 p2 t2,outp outp inp inp,ptoutp ptinp,p1 t1 p2 t2 outp outp inp inp ptoutp ptinp
qa connname pth i,26,pp,minp moutp minpp moutpp,minp ppminpp ppmoutpp moutp,pp minp moutp minpp moutpp minp ppminpp ppmoutpp moutp
qa connname top basic,24,mysrc mysink,outp inp,mysrcoutp mysinkinp,mysrc mysink outp inp mysrcoutp mysinkinp
qa emv issue bus subsystem i,20,b,bpin bpm bpout,bpin b bpm b bpout b b bpin b bpout b bpm,b bpin bpm bpout bpin b bpm b bpout b b bpin b bpout b bpm
qa emv issue main i,19,s1 s2 s3 a1 a2 pi pm po b b,tempval tempval tempval action action ba temperature temperature temperature ba ba action data bpin bpm bpout,stempval pitemperature stempval pitemperature stempval pitemperature aaction poaction data aaction poaction data piba bb pitemperature stempval pitemperature stempval pitemperature stempval pmba bb poba bb poaction data aaction poaction data aaction bb piba bb poba bb pmba,s1 s2 s3 a1 a2 pi pm po b b tempval tempval tempval action action ba temperature temperature temperature ba ba action data bpin bpm bpout stempval pitemperature stempval pitemperature stempval pitemperature aaction poaction data aaction poaction data piba bb pitemperature stempval pitemperature stempval pitemperature stempval pmba bb poba bb poaction data aaction poaction data aaction bb piba bb poba bb pmba
qa etef top i,38,sen act proc,fg fgs fgp fgss fgpp,sensfg procfgss sensfg actfgp actfgs procfgpp actfgp sensfg procfgss sensfg procfgpp actfgs,sen act proc fg fgs fgp fgss fgpp sensfg procfgss sensfg actfgp actfgs procfgpp actfgp sensfg procfgss sensfg procfgpp actfgs
qa flowspeclat top basic,24,mysrc mysink,outp inp,mysrcoutp mysinkinp,mysrc mysink outp inp mysrcoutp mysinkinp
qa issue s i,24,p1 t1 p2 t2,outp outp inp inp,ptoutp ptinp,p1 t1 p2 t2 outp outp inp inp ptoutp ptinp
qa issue s i,9,p1,pin pout pin pout,pin ppin ppout pout,p1 pin pout pin pout pin ppin ppout pout
qa issue app,23,main process subthread,port port port,port main processsubthreadport main processsubthreadport port,main process subthread port port port port main processsubthreadport main processsubthreadport port
qa issue app,23,main process subthread,port port port,port main processsubthreadport main processsubthreadport port,main process subthread port port port port main processsubthreadport main processsubthreadport port
